"State","District","Date","Year","Month","Avg_smlvl_at15cm","Agency_name"
"Andhra Pradesh","Anantapur","2023-04-27","2023","04","17.1161001773","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-28","2023","04","16.9214775744","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-29","2023","04","19.8328257469","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-30","2023","04","21.5274017095","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-01","2023","04","23.085544556","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-02","2023","04","23.9214741375","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-03","2023","04","24.8605139394","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-04","2023","04","24.6274626071","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-05","2023","04","24.7419810684","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-06","2023","04","23.9162175127","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-07","2023","04","23.3850274317","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-08","2023","04","22.931980094","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-09","2023","04","22.5331022944","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-10","2023","04","22.162173804","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-11","2023","04","21.8626839263","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-12","2023","04","21.524760242","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-13","2023","04","21.2108824155","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-14","2023","04","20.9148905678","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-15","2023","04","20.6406515158","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-16","2023","04","20.375600865","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-17","2023","04","20.1209217361","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-18","2023","04","19.8760513545","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-19","2023","04","19.6453118717","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-20","2023","04","19.4178646009","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-21","2023","04","19.2177725514","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-22","2023","04","20.7917867819","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-23","2023","04","20.4741865046","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-24","2023","04","22.0642175491","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-25","2023","04","21.5968291179","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-26","2023","04","21.2023401721","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-27","2023","04","20.9541069943","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-28","2023","04","20.6499171128","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-29","2023","04","20.6452546023","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-04-30","2023","04","20.8473087981","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-01","2023","04","22.372545437","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-02","2023","04","22.2756006581","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-03","2023","04","24.5937650379","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-04","2023","04","23.5465510105","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-05","2023","04","23.1086445183","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-06","2023","04","22.5022935464","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-07","2023","04","22.2559947272","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-08","2023","04","21.7341382844","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-09","2023","04","21.2968687181","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-10","2023","04","20.871074113","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-11","2023","04","20.4882278214","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-12","2023","04","20.1406268074","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-13","2023","04","19.824582563","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-14","2023","04","19.5227272135","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-15","2023","04","19.247280662","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-16","2023","04","18.9907670204","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-17","2023","04","19.0424541542","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-18","2023","04","18.8070339369","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-19","2023","04","18.5828633085","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-20","2023","04","18.3772407788","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-21","2023","04","18.3399272322","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-22","2023","04","18.1614289366","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-23","2023","04","20.7840844647","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-24","2023","04","20.6152622909","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-25","2023","04","20.1854765371","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-26","2023","04","20.5126405504","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-27","2023","04","20.1113731503","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-28","2023","04","19.9830534354","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-29","2023","04","19.6468399869","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-04-30","2023","04","20.0835842578","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-01","2023","04","24.6742825678","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-02","2023","04","24.3457359626","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-03","2023","04","24.6782157454","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-04","2023","04","25.8909076807","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-05","2023","04","26.0499755456","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-06","2023","04","25.1837492103","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-07","2023","04","24.577439969","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-08","2023","04","24.0398976429","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-09","2023","04","23.5757508074","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-10","2023","04","23.1357347073","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-11","2023","04","22.7340250257","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-12","2023","04","22.3686998281","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-13","2023","04","22.0197436855","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-14","2023","04","21.6814357727","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-15","2023","04","21.383980889","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-16","2023","04","21.08939327","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-17","2023","04","20.8117869546","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-18","2023","04","20.5801015367","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-19","2023","04","20.3381833677","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-20","2023","04","20.1164883594","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-21","2023","04","19.9121454773","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-22","2023","04","20.3228164584","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-23","2023","04","20.1535740713","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-24","2023","04","22.0455267606","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-25","2023","04","21.5709742929","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-26","2023","04","21.9143004593","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-27","2023","04","21.5863653219","NRSC VIC MODEL"
